"DateTime","Station_ID","NO2","PM25","O3"
2012-01-01 00:00:00,"31103",12,5,22
2012-01-01 01:00:00,"31103",16,8,22
2012-01-01 02:00:00,"31103",13,10,25
2012-01-01 03:00:00,"31103",16,11,6
2012-01-01 04:00:00,"31103",14,0,4
2012-01-01 05:00:00,"31103",15,7,15
2012-01-01 06:00:00,"31103",14,2,2
2012-01-01 07:00:00,"31103",13,0,28
2012-01-01 08:00:00,"31103",11,0,18
2012-01-01 09:00:00,"31103",10,0,19
2012-01-01 10:00:00,"31103",9,6,21
2012-01-01 11:00:00,"31103",13,3,19
2012-01-01 12:00:00,"31103",15,2,13
2012-01-01 13:00:00,"31103",18,5,21
2012-01-01 14:00:00,"31103",11,2,18
2012-01-01 15:00:00,"31103",8,4,25
2012-01-01 16:00:00,"31103",6,4,13
2012-01-01 17:00:00,"31103",7,3,26
2012-01-01 18:00:00,"31103",8,8,21
2012-01-01 19:00:00,"31103",7,9999,22
2012-01-01 20:00:00,"31103",8,4,3
2012-01-01 21:00:00,"31103",7,0,5
2012-01-01 22:00:00,"31103",10,9999,18
2012-01-01 23:00:00,"31103",11,0,10
2012-01-02 00:00:00,"31103",7,0,29
2012-01-02 01:00:00,"31103",7,0,3
2012-01-02 02:00:00,"31103",8,0,11
2012-01-02 03:00:00,"31103",10,0,14
2012-01-02 04:00:00,"31103",11,1,27
2012-01-02 05:00:00,"31103",6,0,24
2012-01-02 06:00:00,"31103",6,0,26
2012-01-02 07:00:00,"31103",7,0,30
2012-01-02 08:00:00,"31103",9,0,25
2012-01-02 09:00:00,"31103",6,0,5
2012-01-02 10:00:00,"31103",4,0,8
2012-01-02 11:00:00,"31103",4,0,24
2012-01-02 12:00:00,"31103",3,0,24
2012-01-02 13:00:00,"31103",3,0,19
2012-01-02 14:00:00,"31103",4,1,19
2012-01-02 15:00:00,"31103",4,2,10
2012-01-02 16:00:00,"31103",5,3,21
2012-01-02 17:00:00,"31103",6,1,16
2012-01-02 18:00:00,"31103",7,3,24
2012-01-02 19:00:00,"31103",6,3,24
2012-01-02 20:00:00,"31103",8,4,11
2012-01-02 21:00:00,"31103",8,2,14
2012-01-02 22:00:00,"31103",7,3,19
2012-01-02 23:00:00,"31103",7,1,22
2012-01-03 00:00:00,"31103",6,1,17
2012-01-03 01:00:00,"31103",7,4,23
2012-01-03 02:00:00,"31103",8,4,22
2012-01-03 03:00:00,"31103",9,3,27
2012-01-03 04:00:00,"31103",9,2,22
2012-01-03 05:00:00,"31103",8,0,23
2012-01-03 06:00:00,"31103",10,2,10
2012-01-03 07:00:00,"31103",14,4,27
2012-01-03 08:00:00,"31103",18,4,33
2012-01-03 09:00:00,"31103",13,0,25
2012-01-03 10:00:00,"31103",9,2,35
2012-01-03 11:00:00,"31103",8,3,26
2012-01-03 12:00:00,"31103",8,2,27
2012-01-03 13:00:00,"31103",9,2,23
2012-01-03 14:00:00,"31103",10,1,17
2012-01-03 15:00:00,"31103",12,1,31
2012-01-03 16:00:00,"31103",15,3,26
2012-01-03 17:00:00,"31103",15,4,16
2012-01-03 18:00:00,"31103",21,6,14
2012-01-03 19:00:00,"31103",29,4,44
2012-01-03 20:00:00,"31103",28,2,33
2012-01-03 21:00:00,"31103",23,4,34
2012-01-03 22:00:00,"31103",27,8,29
2012-01-03 23:00:00,"31103",27,4,23
2012-01-04 00:00:00,"31103",31,6,29
2012-01-04 01:00:00,"31103",23,4,13
2012-01-04 02:00:00,"31103",23,5,37
2012-01-04 03:00:00,"31103",26,3,25
2012-01-04 04:00:00,"31103",26,3,35
2012-01-04 05:00:00,"31103",28,6,21
2012-01-04 06:00:00,"31103",33,5,2
2012-01-04 07:00:00,"31103",34,7,20
2012-01-04 08:00:00,"31103",30,10,34
2012-01-04 09:00:00,"31103",23,9,12
2012-01-04 10:00:00,"31103",14,3,27
2012-01-04 11:00:00,"31103",11,4,38
2012-01-04 12:00:00,"31103",12,4,26
2012-01-04 13:00:00,"31103",13,3,23
2012-01-04 14:00:00,"31103",17,6,31
2012-01-04 15:00:00,"31103",21,5,34
2012-01-04 16:00:00,"31103",23,8,25
2012-01-04 17:00:00,"31103",21,9,18
2012-01-04 18:00:00,"31103",22,12,36
2012-01-04 19:00:00,"31103",22,10,28
2012-01-04 20:00:00,"31103",23,9,28
2012-01-04 21:00:00,"31103",24,9,34
2012-01-04 22:00:00,"31103",24,9,5
2012-01-04 23:00:00,"31103",24,8,22
2012-01-05 00:00:00,"31103",23,8,30
2012-01-05 01:00:00,"31103",21,7,36
2012-01-05 02:00:00,"31103",18,8,33
2012-01-05 03:00:00,"31103",20,7,40
2012-01-05 04:00:00,"31103",13,0,39
2012-01-05 05:00:00,"31103",7,9999,17
2012-01-05 06:00:00,"31103",10,0,28
2012-01-05 07:00:00,"31103",16,0,28
2012-01-05 08:00:00,"31103",21,0,4
2012-01-05 09:00:00,"31103",23,3,32
2012-01-05 10:00:00,"31103",20,1,28
2012-01-05 11:00:00,"31103",24,3,27
2012-01-05 12:00:00,"31103",23,3,29
2012-01-05 13:00:00,"31103",23,6,28
2012-01-05 14:00:00,"31103",19,6,30
2012-01-05 15:00:00,"31103",19,4,21
2012-01-05 16:00:00,"31103",19,5,32
2012-01-05 17:00:00,"31103",14,5,39
2012-01-05 18:00:00,"31103",15,1,39
2012-01-05 19:00:00,"31103",17,10,41
2012-01-05 20:00:00,"31103",15,7,22
2012-01-05 21:00:00,"31103",15,11,31
2012-01-05 22:00:00,"31103",13,9,32
2012-01-05 23:00:00,"31103",14,6,38
2012-01-06 00:00:00,"31103",13,5,37
2012-01-06 01:00:00,"31103",14,6,31
2012-01-06 02:00:00,"31103",15,6,2
2012-01-06 03:00:00,"31103",12,6,2
2012-01-06 04:00:00,"31103",13,7,42
2012-01-06 05:00:00,"31103",16,9,22
2012-01-06 06:00:00,"31103",20,8,2
2012-01-06 07:00:00,"31103",20,6,38
2012-01-06 08:00:00,"31103",15,8,10
2012-01-06 09:00:00,"31103",15,7,30
2012-01-06 10:00:00,"31103",16,6,32
2012-01-06 11:00:00,"31103",18,6,30
2012-01-06 12:00:00,"31103",19,5,3
2012-01-06 13:00:00,"31103",17,7,41
2012-01-06 14:00:00,"31103",17,8,40
2012-01-06 15:00:00,"31103",23,8,25
2012-01-06 16:00:00,"31103",27,9,58
2012-01-06 17:00:00,"31103",25,8,26
2012-01-06 18:00:00,"31103",23,7,22
2012-01-06 19:00:00,"31103",22,8,35
2012-01-06 20:00:00,"31103",25,9,59
2012-01-06 21:00:00,"31103",24,10,54
2012-01-06 22:00:00,"31103",23,10,35
2012-01-06 23:00:00,"31103",27,10,24
2012-01-07 00:00:00,"31103",27,13,35
2012-01-07 01:00:00,"31103",26,13,46
2012-01-07 02:00:00,"31103",27,11,34
2012-01-07 03:00:00,"31103",25,10,28
2012-01-07 04:00:00,"31103",25,10,45
2012-01-07 05:00:00,"31103",25,10,51
2012-01-07 06:00:00,"31103",29,11,45
2012-01-07 07:00:00,"31103",30,13,20
2012-01-07 08:00:00,"31103",29,12,30
2012-01-07 09:00:00,"31103",22,16,26
2012-01-07 10:00:00,"31103",16,10,34
2012-01-07 11:00:00,"31103",8,2,18
2012-01-07 12:00:00,"31103",6,9999,22
