Station_ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Ozone,2012-01-01,22,17,18,13,12,11,14,17,18,19,20,16,14,13,22,24,23,15,11,14,14,15,17,18
31103,Ozone,2012-01-02,22,20,18,17,15,18,19,22,21,24,25,26,26,26,25,26,25,25,23,23,22,21,23,23
31103,Ozone,2012-01-03,25,24,23,23,22,24,23,21,19,23,27,28,29,28,27,27,24,22,16,9,10,14,10,11
31103,Ozone,2012-01-04,6,12,11,10,10,8,4,3,6,12,20,23,22,21,16,13,11,11,10,8,7,5,5,4
31103,Ozone,2012-01-05,4,6,7,7,18,27,23,20,16,13,16,13,12,10,14,14,15,19,18,14,14,14,14,14
31103,Ozone,2012-01-06,15,13,12,14,11,8,4,4,8,9,10,9,9,11,12,8,5,6,8,8,5,5,5,2
31103,Ozone,2012-01-07,2,2,2,3,3,2,2,2,3,4,11,21,25,27,29,26,25,25,26,26,26,28,27,27
31103,Ozone,2012-01-08,28,28,27,22,20,21,22,20,22,24,26,25,27,28,28,24,23,24,25,24,23,23,22,22
31103,Ozone,2012-01-09,18,13,15,14,15,12,6,3,4,10,14,19,19,21,21,22,22,23,24,25,25,24,22,20
31103,Ozone,2012-01-10,19,19,19,18,17,14,11,8,18,21,23,26,27,26,29,28,24,23,21,18,20,20,17,25
31103,Ozone,2012-01-11,21,19,16,17,13,11,6,8,16,20,21,25,24,24,22,21,20,18,19,19,17,18,18,19
31103,Ozone,2012-01-12,19,17,16,16,16,13,14,15,17,20,18,16,16,13,10,6,4,5,2,3,4,5,7,9
31103,Ozone,2012-01-13,13,14,11,5,6,12,11,12,10,9,7,8,7,7,6,20,20,20,23,24,25,25,25,24
31103,Ozone,2012-01-14,21,22,23,23,21,19,24,24,23,25,25,28,29,30,30,30,29,29,26,24,20,18,14,14
31103,Ozone,2012-01-15,18,9,9,8,17,15,18,10,16,13,14,13,17,24,27,29,29,28,25,30,26,25,28,27
31103,Ozone,2012-01-16,25,24,22,21,22,18,16,12,11,12,17,17,17,23,24,21,21,16,16,18,22,23,22,16
31103,Ozone,2012-01-17,13,5,8,5,10,6,2,3,4,5,9,10,10,9,14,20,19,23,16,14,20,23,24,24
31103,Ozone,2012-01-18,26,26,25,27,27,27,27,24,25,24,28,30,29,31,28,23,23,25,26,21,22,22,23,19
31103,Ozone,2012-01-19,21,20,29,30,30,28,27,22,20,21,23,22,23,21,20,20,22,21,21,19,23,22,21,22
31103,Ozone,2012-01-20,22,20,18,22,26,24,21,18,13,9,9,21,30,29,26,25,25,30,30,29,26,16,11,4
31103,Ozone,2012-01-21,3,4,7,8,11,13,14,16,17,17,19,23,25,28,26,24,23,19,15,8,8,6,5,4
31103,Ozone,2012-01-22,5,5,8,10,21,28,29,29,27,27,29,29,28,29,28,29,28,25,22,21,21,18,20,20
31103,Ozone,2012-01-23,18,16,19,20,19,19,19,18,16,11,11,13,10,9,11,11,13,10,13,21,19,9,8,8
31103,Ozone,2012-01-24,10,13,14,11,12,14,18,16,17,16,12,16,12,9,10,18,17,16,18,21,23,23,26,27
31103,Ozone,2012-01-25,29,27,27,27,28,27,25,24,24,24,23,23,21,20,17,16,19,17,16,14,14,9,3,4
31103,Ozone,2012-01-26,3,2,4,2,2,3,2,4,13,23,21,20,18,15,16,15,16,14,13,12,13,17,18,14
31103,Ozone,2012-01-27,11,9,10,12,11,8,4,5,6,8,9,9,8,16,23,24,20,22,25,27,29,27,23,17
31103,Ozone,2012-01-28,14,7,6,8,8,16,19,19,19,21,20,20,19,18,17,19,24,33,31,34,33,32,30,27
31103,Ozone,2012-01-29,27,24,25,27,25,25,25,21,19,21,27,30,29,28,28,29,26,23,24,25,28,26,24,21
31103,Ozone,2012-01-30,24,21,23,17,18,25,27,23,18,20,27,29,30,31,29,29,31,26,26,25,25,24,27,26
31103,Ozone,2012-01-31,26,23,22,19,19,11,11,13,11,7,13,14,16,20,24,32,29,27,23,19,26,27,29,28
31103,Ozone,2012-02-01,30,28,26,25,21,22,17,11,22,21,23,22,21,19,19,20,21,21,22,21,22,22,23,24
31103,Ozone,2012-02-02,25,23,23,26,26,23,24,21,18,19,22,23,23,25,26,27,29,26,25,23,18,19,16,7
31103,Ozone,2012-02-03,5,20,20,21,21,14,16,7,3,5,9,10,13,14,12,11,10,7,4,5,5,6,10,9
31103,Ozone,2012-02-04,8,7,8,5,5,6,3,4,7,8,17,26,27,26,25,27,27,28,30,27,24,17,23,26
31103,Ozone,2012-02-05,24,22,14,11,16,22,24,23,23,26,26,28,23,24,28,30,31,31,32,19,18,18,21,24
31103,Ozone,2012-02-06,24,25,20,20,21,20,15,9,9,15,18,23,26,27,25,25,28,27,13,13,19,21,28,23
31103,Ozone,2012-02-07,19,18,17,15,15,16,17,16,15,16,19,23,28,28,27,27,26,24,22,24,24,24,20,19
31103,Ozone,2012-02-08,19,16,12,15,14,13,10,4,6,10,17,23,23,23,22,19,24,22,24,22,24,24,16,16
31103,Ozone,2012-02-09,10,13,17,17,14,13,10,8,12,11,15,20,23,24,26,24,24,21,17,16,19,22,22,22
